56300,Saint Cloud,MN,Stearns,45.540000,-94.180000
56301,Saint Cloud,MN,Stearns,45.541000,-94.181000
56302,Saint Cloud,MN,Stearns,45.542000,-94.182000
56303,Saint Cloud,MN,Stearns,45.543000,-94.183000
56304,Saint Cloud,MN,Stearns,45.544000,-94.184000
56305,Saint Cloud,MN,Stearns,45.545000,-94.185000
56306,Saint Cloud,MN,Stearns,45.546000,-94.186000
56307,Saint Cloud,MN,Stearns,45.547000,-94.187000
56308,Saint Cloud,MN,Stearns,45.548000,-94.188000
56309,Saint Cloud,MN,Stearns,45.549000,-94.189000
